RuleID,Atom_id,Negated,Model,Dataset,Fold_number,fold_id
GR308,RVA9571,true,Model2,Data1,1,Fold1
GR308,RVA5710,true,Model2,Data1,1,Fold1
GR309,RVA9585,true,Model2,Data1,1,Fold1
GR309,RVA5710,true,Model2,Data1,1,Fold1
GR310,RVA9565,true,Model2,Data1,1,Fold1
GR310,RVA9555,true,Model2,Data1,1,Fold1
GR311,RVA9565,true,Model2,Data1,1,Fold1
GR312,RVA9584,true,Model2,Data1,1,Fold1
GR313,RVA9307,true,Model2,Data1,1,Fold1
GR313,RVA778,true,Model2,Data1,1,Fold1
GR314,RVA9583,true,Model2,Data1,1,Fold1
GR315,RVA9571,true,Model2,Data1,1,Fold1
GR316,RVA9565,true,Model2,Data1,1,Fold1
GR316,RVA849,true,Model2,Data1,1,Fold1
GR317,RVA9588,true,Model2,Data1,1,Fold1
GR318,RVA9581,true,Model2,Data1,1,Fold1
GR319,RVA9581,true,Model2,Data1,1,Fold1
GR320,RVA9587,true,Model2,Data1,1,Fold1
GR321,RVA9391,true,Model2,Data1,1,Fold1
GR321,RVA8405,true,Model2,Data1,1,Fold1
GR322,RVA9605,true,Model2,Data1,1,Fold1
GR323,RVA9602,true,Model2,Data1,1,Fold1
GR323,RVA777,true,Model2,Data1,1,Fold1
GR324,RVA9430,true,Model2,Data1,1,Fold1
GR325,RVA9609,true,Model2,Data1,1,Fold1
GR326,RVA9605,true,Model2,Data1,1,Fold1
GR327,RVA9609,true,Model2,Data1,1,Fold1
GR327,RVA8356,true,Model2,Data1,1,Fold1
GR328,RVA9607,true,Model2,Data1,1,Fold1
GR328,RVA9557,true,Model2,Data1,1,Fold1
GR329,RVA9602,true,Model2,Data1,1,Fold1
GR330,RVA9633,true,Model2,Data1,1,Fold1
GR331,RVA9636,true,Model2,Data1,1,Fold1
GR332,RVA9632,true,Model2,Data1,1,Fold1
GR332,RVA8368,true,Model2,Data1,1,Fold1
GR333,RVA9632,true,Model2,Data1,1,Fold1
GR333,RVA9558,true,Model2,Data1,1,Fold1
GR334,RVA9641,true,Model2,Data1,1,Fold1
GR335,RVA9655,true,Model2,Data1,1,Fold1
GR336,RVA9651,true,Model2,Data1,1,Fold1
GR337,RVA9346,true,Model2,Data1,1,Fold1
GR337,RVA777,true,Model2,Data1,1,Fold1
GR338,RVA9656,true,Model2,Data1,1,Fold1
GR339,RVA9650,true,Model2,Data1,1,Fold1
GR340,RVA9653,true,Model2,Data1,1,Fold1
GR341,RVA9680,true,Model2,Data1,1,Fold1
GR342,RVA9632,true,Model2,Data1,1,Fold1
GR342,RVA5710,true,Model2,Data1,1,Fold1
GR343,RVA9688,true,Model2,Data1,1,Fold1
GR344,RVA9688,true,Model2,Data1,1,Fold1
GR344,RVA9558,true,Model2,Data1,1,Fold1
GR345,RVA9686,true,Model2,Data1,1,Fold1
GR346,RVA9635,true,Model2,Data1,1,Fold1
GR347,RVA9682,true,Model2,Data1,1,Fold1
GR348,RVA9609,true,Model2,Data1,1,Fold1
GR349,RVA9683,true,Model2,Data1,1,Fold1
GR349,RVA8356,true,Model2,Data1,1,Fold1
GR350,RVA9685,true,Model2,Data1,1,Fold1
GR351,RVA9683,true,Model2,Data1,1,Fold1
GR352,RVA9681,true,Model2,Data1,1,Fold1
GR352,RVA724,true,Model2,Data1,1,Fold1
GR353,RVA9710,true,Model2,Data1,1,Fold1
GR354,RVA9710,true,Model2,Data1,1,Fold1
GR354,RVA9560,true,Model2,Data1,1,Fold1
GR355,RVA9710,true,Model2,Data1,1,Fold1
GR356,RVA9715,true,Model2,Data1,1,Fold1
GR357,RVA9717,true,Model2,Data1,1,Fold1
GR358,RVA9715,true,Model2,Data1,1,Fold1
GR359,RVA9718,true,Model2,Data1,1,Fold1
GR359,RVA778,true,Model2,Data1,1,Fold1
GR360,RVA9639,true,Model2,Data1,1,Fold1
GR360,RVA846,true,Model2,Data1,1,Fold1
GR361,RVA9710,true,Model2,Data1,1,Fold1
GR362,RVA9713,true,Model2,Data1,1,Fold1
GR363,RVA12651,true,Model2,Data1,1,Fold1
GR364,RVA12647,true,Model2,Data1,1,Fold1
GR365,RVA9712,true,Model2,Data1,1,Fold1
GR365,RVA5710,true,Model2,Data1,1,Fold1
GR366,RVA9711,true,Model2,Data1,1,Fold1
GR367,RVA12686,true,Model2,Data1,1,Fold1
GR368,RVA12688,true,Model2,Data1,1,Fold1
GR369,RVA12722,true,Model2,Data1,1,Fold1
GR370,RVA12720,true,Model2,Data1,1,Fold1
GR371,RVA12641,true,Model2,Data1,1,Fold1
GR371,RVA845,true,Model2,Data1,1,Fold1
GR372,RVA12719,true,Model2,Data1,1,Fold1
GR373,RVA12649,true,Model2,Data1,1,Fold1
GR373,RVA8378,true,Model2,Data1,1,Fold1
GR374,RVA12719,true,Model2,Data1,1,Fold1
GR375,RVA12718,true,Model2,Data1,1,Fold1
GR376,RVA12724,true,Model2,Data1,1,Fold1
GR376,RVA5710,true,Model2,Data1,1,Fold1
GR377,RVA12723,true,Model2,Data1,1,Fold1
GR378,RVA12725,true,Model2,Data1,1,Fold1
GR379,RVA12858,true,Model2,Data1,1,Fold1
GR380,RVA12860,true,Model2,Data1,1,Fold1
GR381,RVA12690,true,Model2,Data1,1,Fold1
GR381,RVA8355,true,Model2,Data1,1,Fold1
GR382,RVA12858,true,Model2,Data1,1,Fold1
GR383,RVA12850,true,Model2,Data1,1,Fold1
GR384,RVA12873,true,Model2,Data1,1,Fold1
GR385,RVA12870,true,Model2,Data1,1,Fold1
GR386,RVA12879,true,Model2,Data1,1,Fold1
GR387,RVA12879,true,Model2,Data1,1,Fold1
GR388,RVA12872,true,Model2,Data1,1,Fold1
GR389,RVA12854,true,Model2,Data1,1,Fold1
GR389,RVA724,true,Model2,Data1,1,Fold1
GR390,RVA12879,true,Model2,Data1,1,Fold1
GR391,RVA12894,true,Model2,Data1,1,Fold1
GR392,RVA12875,true,Model2,Data1,1,Fold1
GR393,RVA12690,true,Model2,Data1,1,Fold1
GR394,RVA12899,true,Model2,Data1,1,Fold1
GR395,RVA12871,true,Model2,Data1,1,Fold1
GR396,RVA12718,true,Model2,Data1,1,Fold1
GR396,RVA5710,true,Model2,Data1,1,Fold1
GR397,RVA12898,true,Model2,Data1,1,Fold1
GR398,RVA12891,true,Model2,Data1,1,Fold1
GR398,RVA844,true,Model2,Data1,1,Fold1
GR399,RVA12896,true,Model2,Data1,1,Fold1
GR400,RVA12719,true,Model2,Data1,1,Fold1
GR400,RVA8350,true,Model2,Data1,1,Fold1
GR401,RVA12923,true,Model2,Data1,1,Fold1
GR401,RVA9560,true,Model2,Data1,1,Fold1
GR402,RVA12921,true,Model2,Data1,1,Fold1
GR403,RVA12922,true,Model2,Data1,1,Fold1
GR403,RVA754,true,Model2,Data1,1,Fold1
GR404,RVA12928,true,Model2,Data1,1,Fold1
GR405,RVA12876,true,Model2,Data1,1,Fold1
GR406,RVA12922,true,Model2,Data1,1,Fold1
GR406,RVA844,true,Model2,Data1,1,Fold1
GR407,RVA12925,true,Model2,Data1,1,Fold1
GR408,RVA12874,true,Model2,Data1,1,Fold1
